,message,cleaned,output
676,"N one more reminder I wanna set for 5:10am 26 december,","n one reminder wanna set :am  december,",['Not Found']
677,"Can you please put this as a reminder for 7th dec 12pm again please,","please put reminder th dec pm please,",['Not Found']
678,"Can you remind me to replace my lenses on 19th December,","remind replace lens th december,",['Not Found']
679,"set remider,","set remider,",['Not Found']
680,"Remind me to keep the pass back at 2.00 pm tomorrow (19th November),","remind keep pas back . pm tomorrow (th november),",['the same']
681,"Remind me bro bday at 11am today,","remind bro bday am today,",['the same']
682,"Remind me for economics notes at 2:50PM today,","remind economics note :pm today,",['the same']
683,"Remind me to take a book for assinment today at 12:00 pm ok,","remind take book assinment today : pm ok,",['take lunch']
684,"Set reminder on 5th December for visiting doctor on 6th December at Park clinic,","set reminder th december visiting doctor th december park clinic,",['doctor']
685,"Repeat alarm at 8 am please,","repeat alarm  please,",['Not Found']
686,"And also remain me on Friday 10 am about medical bill,","also remain friday  medical bill,",['Not Found']
687,"Remind me same at 10.40pm today,","remind .pm today,",['the same']
688,"At least there should be notification popup because how would i get the reminder that i have to do something,","least notification popup would get reminder something,",['Not Found']
689,"Remind me to ask simar to do 10 maths questions and learn square root table,","remind ask simar  math question learn square root table,",['How']
690,"Also remind me to mail the presentation to Bloomberg tomorrow at 11 am,","also remind mail presentation bloomberg tomorrow  am,",['the same']
691,"Can u remind me on Monday at 1100 am to ask muthu on confirmation for the training,","u remind monday  ask muthu confirmation training,",['How']
692,"Reminder for ticket booking,","reminder ticket booking,",['ticket booking']
693,"Remind me tommorow to write jaasa uncle's 2000 rupees at 12 pm,","remind tommorow write jaasa uncle's  rupee  pm,",['Not Found']
694,"Can you remind me for tomorrow,","remind tomorrow,",['Not Found']
695,"Set a reminder for 4pm also Medical check up,","set reminder pm also medical check up,",['Not Found']
696,"i have problem with 11:58pm reminder please remoe it,","problem :pm reminder please remoe it,",['Not Found']
697,"Reminder for study time,","reminder study time,",['study']
698,"Pls remind me to that I need to submit my documents tmw mng,","pls remind need submit document tmw mng,",['Not Found']
699,"Okay thank you... That will be total 2 reminders is it?,","okay thank you... total  reminder it?,",['Not Found']
700,"Please remind me to get ioning cloths at 730 pm today evening,","please remind get ioning cloth  pm today evening,",['Not Found']
701,"Remind me tomorrow about buying pen for taran with bill. At 9 am.,","remind tomorrow buying pen taran bill.  am.,",['the same']
702,"Remind me to go to dad's shop @ 2:30 pm,","remind go dad's shop @ : pm,",['Not Found']
703,"Tomo evening at 4.30 pm remember me i should go to near basavana bhavan,","tomo evening . pm remember go near basavana bhavan,",['Not Found']
704,"remind me to watch baar bar dekho at 8.00 pm today,","remind watch baar bar dekho . pm today,",['the same']
705,"Hello, when did I ask for this reminder?,","hello, ask reminder?,",['What']
706,"Please remind me to do payment of credit card today at 10:10 am,","please remind payment credit card today : am,",['credit card payment']
707,"i need a reminder in tamil,","need reminder tamil,",['Not Found']
708,"please remind me to open crystals at 1655 hours,","please remind open crystal  hours,",['Not Found']
709,"Via call?,","via call?,",['Call']
710,"Edit my reminder,","edit reminder,",['What']
711,"Remind me in 12:50pm,","remind :pm,",['Not Found']
712,"Add some more reminders,","add reminders,",['Not Found']
713,"Remind me to book tickets today,","remind book ticket today,",['book tickets']
714,"I want to remind to my wife birthday,","want remind wife birthday,",['Not Found']
715,"i will stopped reminder,","stopped reminder,",['What']
716,"Alert tone?,","alert tone?,",['Not Found']
717,"Set me a reminder after 12 minutes,","set reminder  minutes,",['What']
718,"Can u remind me every day that i have punch in at zinger at 9:45 am ??,","u remind every day punch zinger : ??,",['Not Found']
719,"Ya sure you can,","ya sure can,",['Not Found']
720,"Everyday,","everyday,",['Not Found']
721,"If my provided number will be out of reach den plz make me a call on 8804033000,","provided number reach den plz make call ,",['Not Found']
722,"Set Alarm from 10:400AM to 10:50AM, today, 2 minutes difference,","set alarm :am :am, today,  minute difference,",['Alarm']
723,"Also remind me to book ticket of partha on 3rd Jan at 09:30,","also remind book ticket partha rd jan :,",['book tickets']
724,"Add a reminder on 24th nov at 3.30 at meet Mr. Oak,","add reminder th nov . meet mr. oak,",['Not Found']
725,"And remind me to check mi store,","remind check mi store,",['How']
726,"How can i set reminders,","set reminders,",['Not Found']
727,"I want to change my child name from kanishk to kanishk lodha in birth certificate tell me procedure for Tamil nadu Chennai Wat is easiest way,","want change child name kanishk kanishk lodha birth certificate tell procedure tamil nadu chennai wat easiest way,",['you']
728,"Please call.me on 10 Nov, 2016 at 11 am IST please,","please call.me  nov,   ist please,",['Not Found']
729,"Give a cll to me at 4pm today to remind me to buy smthing,","give cll pm today remind buy smthing,",['the same']
730,"Any upcoming events?,","upcoming events?,",['Not Found']
731,"remind me 9pm,","remind pm,",['Not Found']
732,"Hi, please remind me tomorrow to go to parlour for my eyebrows done.ok,","hi, please remind tomorrow go parlour eyebrow done.ok,",['Not Found']
733,"Today I have set a reminder at morning 9 am,","today set reminder morning  am,",['Not Found']
734,"Thank u for remember me,","thank u remember me,",['Not Found']
735,"My reminder came late,","reminder came late,",['What']
736,"Does haptik send me reminders from a single mobile number?,","haptik send reminder single mobile number?,",['How']
737,"But call on above mention number just said recharge,","call mention number said recharge,",['Call']
738,"Remind me to buy eggs at 6 pm today,","remind buy egg  pm today,",['buy eggs']
739,"My reminder of march 18th 2017,","reminder march th ,",['What']
740,"Cud u make it hydrating reminder frequency by hour,","cud u make hydrating reminder frequency hour,",['Not Found']
741,"I want to set it as yearly reminder,","want set yearly reminder,",['Not Found']
742,"Thanks man...i ll let you know in case of any assistance,","thanks man...i let know case assistance,",[')']
743,"K thks remember with me,","k thks remember me,",['Not Found']
744,"I said except on sunday I need a daily alarm at 7:05 AM,","said except sunday need daily alarm : am,",['Not Found']
745,"Remind me to collect headpone today at 5pm,","remind collect headpone today pm,",['the same']
746,"Plz remind me to eat something at 7pm,","plz remind eat something pm,",['eat']
747,"Please dismiss all my reminders,","please dismiss reminders,",['Not Found']
748,"Remind me today at 8:00 pm to make note,","remind today : pm make note,",['the same']
749,"Can I set reminder for another phone from this phone?,","set reminder another phone phone?,",['another reminder']
750,"Remind on Monday to call Vivin at 11 am,","remind monday call vivin  am,",['Call']
751,"I also need a general reminder to upload the documents at 11.30 am,","also need general reminder upload document . am,",['Not Found']
752,"Please remind me that I have a flight from Chandigarh to Pune tomorrow at 1430 hours,","please remind flight chandigarh pune tomorrow  hours,",['Not Found']
753,"Change the frequency of reminder,","change frequency reminder,",['Not Found']
754,"Alarm same time this morning please?,","alarm time morning please?,",['Not Found']
755,"Can you remind me whenever JEE and Gujcet exam online application starts??,","remind whenever jee gujcet exam online application starts??,",['exam']
756,"Whats that reminder for,","whats reminder for,",['What']
757,"Remind me at 4:20 pm,","remind : pm,",['Not Found']
758,"Reminders for every month,","reminder every month,",['Not Found']
759,"Tell me about best and safe file sharing app,","tell best safe file sharing app,",['you']
760,"Pls remind for go to garden at 430pm,","pls remind go garden pm,",['Not Found']
761,"Please do setup reminder,","please setup reminder,",['Not Found']
762,"Surely,Thanks. The same will be for the Language Reminder too?,","surely,thanks. language reminder too?,",['the reminders']
763,"How could uhh remind me,","could uhh remind me,",['How']
764,"Second d reminder today 830 pm for the same,","second reminder today  pm same,",['Not Found']
765,"Remind for RO service,","remind ro service,",['How']
766,"Call me immediately,","call immediately,",['Call']
767,"Pls remind on 7th Jan 2017 at 11am for filling hallticket of nmis,","pls remind th jan  am filling hallticket nmis,",['Not Found']
768,"Remind me for purchase of pillows at 5 pm today,","remind purchase pillow  pm today,",['the same']
769,"Ok can you schedule the same task for 2:45 pm today,","ok schedule task : pm today,",['Not Found']
770,"Every Saturday at 9 pm,","every saturday  pm,",['Not Found']
771,"I need a reminder,","need reminder,",['Not Found']
772,"Reminder on another number,","reminder another number,",['another number']
773,"Remind me about Lenskart,","remind lenskart,",['How']
774,"Phone call,","phone call,",['Call']
775,"Will u plz set a reminder for me,","u plz set reminder me,",['Not Found']
776,"I need a reminder after 56 days,","need reminder  days,",['Not Found']
777,"Please remind me morrow at 5.15,","please remind morrow .,",['Not Found']
778,"Remind me at 4 pm to visit ICICI Bank and boxer,","remind  pm visit icici bank boxer,",['go bank']
779,"Can you remind me to do the same after an hour please?,","remind hour please?,",['Not Found']
780,"Does my phone need to be connected to Internet for reminders?,","phone need connected internet reminders?,",['Not Found']
781,"Set an alarm for 9 am today,","set alarm  today,",['Not Found']
782,"Give a reminder to carry laptop,","give reminder carry laptop,",['What']
783,"And remind me to do on every Monday to yuvakender at 9:25pm,","remind every monday yuvakender :pm,",['the same']
784,"Set one more reminder for tonight 930pm,","set one reminder tonight pm,",['Not Found']
785,"How will I get a reminder?,","get reminder?,",['How']
786,"can you remaind me to sleep at 10.35pm today,","remaind sleep .pm today,",['sleep']
787,"Remind me to submit my taxes and pay the man all my money at 12:24,","remind submit tax pay man money :,",['transfer money']
788,"Remind me to go to david sassoon library at 1.30,","remind go david sassoon library .,",['go to library']
789,"I wwant to make one more reminder,","wwant make one reminder,",['Not Found']
790,"Remind me to take interview of Pooja on 7th Dec at 8 P. M.,","remind take interview pooja th dec  p. m.,",['Not Found']
791,"Remind me to get true copy of agreement tomorrow,","remind get true copy agreement tomorrow,",['How']
792,"Remind me on 7 January for visit to borivali for Nagaur got at 3 pm,","remind  january visit borivali nagaur got  pm,",['Not Found']
793,"Call me on,","call on,",['Call']
794,"Please remind me the above,","please remind above,",['Not Found']
795,"Can you remind me to book ticket's for dec end tomorrow ??,","remind book ticket's dec end tomorrow ??,",['book a ticket']
796,"Thanks for reminder.,","thanks reminder.,",['the reminders']
797,"Need repeat alarm in next 5 min,","need repeat alarm next  min,",['Alarm']
798,"Remind me to follow up with nana at 7 pm today.,","remind follow nana  pm today.,",['the same']
799,"Call me in 7898117441,","call ,",['Call']
800,"I want a reminder to go to Aziza at 4pm,","want reminder go aziza pm,",['Not Found']
801,"Remind me this at 11 am,","remind  am,",['Not Found']
802,"Please remind me on 3rd dec 2016... to deactivate active fitness pkg,","please remind rd dec ... deactivate active fitness pkg,",['Not Found']
803,"Remind me at four thorty to check the cookies,","remind four thorty check cookies,",['How']
804,"Remind me at 3:10 pm today,","remind : pm today,",['the same']
805,"Please remind me after 15 minutes for food,","please remind  minute food,",['Not Found']
806,"Can you set reminder for 18 December at 9 pm to book tickets for nations street food festival 2016,","set reminder  december  pm book ticket nation street food festival ,",['book a ticket']
807,"U can remind till 10,","u remind till ,",['How']
808,"This reminder for Shivani pathak okk????,","reminder shivani pathak okk????,",['What']
809,"Set an alarm at 8 am for tomorrow,","set alarm  tomorrow,",['Not Found']
810,"Yes komal go ahead,","yes komal go ahead,",['Not Found']
811,"again call me after 10 minutes,","call  minutes,",['Call']
812,"Yeah thanks for reminding me,","yeah thanks reminding me,",['reminding me']
813,"Was the call made by you at 12?,","call made ?,",['Call']
814,"Please schedule it for everyday,","please schedule everyday,",['Not Found']
815,"Nahi 9:15 Ko Mujhe Remind Karo,","nahi : ko mujhe remind karo,",['How']
816,"Remind me that I have math tuition at 2:00pm,","remind math tuition :pm,",['Not Found']
817,"Also, remind on Monday thrice,","also, remind monday thrice,",['Not Found']
818,"Remind me on 16 Dec at 5 pm for bday of vikas,","remind  dec  pm bday vikas,",['Not Found']
819,"I want this reminder daily,","want reminder daily,",['Not Found']
820,"Please remind me tomorrow at 1pm to mail my leave application,","please remind tomorrow pm mail leave application,",['leave']
821,"Remind me to cal ravi kumar,","remind cal ravi kumar,",['How']
822,"Remind me at 5pm to go veer hosiery,","remind pm go veer hosiery,",['Not Found']
823,"Reminder for electrochemical analysis today 11:30 am,","reminder electrochemical analysis today : am,",['Not Found']
824,"Make it for 10:30 am to call Jaineel,","make : call jaineel,",['Call']
825,"OBC loan payment. Remind me each month on 28th at 10:30,","obc loan payment. remind month th :,",['Not Found']
826,"Thanks for remind me,","thanks remind me,",['Not Found']
827,"Just tell me how this remainder option works?,","tell remainder option works?,",['you']
828,"31st Dec 6:45 am 7:00 am 7:10 am Will you schedule all of these please?,","st dec : : : schedule please?,",['Not Found']
829,"Reminder for roll num attest tomorrow at 10 am,","reminder roll num attest tomorrow  am,",['Not Found']
830,"Remind me to book movie tickets today at 12pm,","remind book movie ticket today pm,",['book tickets']
831,"Need to keep reminder,","need keep reminder,",['Not Found']
832,"16/1/2016 please remind about court in the morning 8am,","// please remind court morning am,",['Not Found']
833,"I need a reminder at 5.50 pm sharp.,","need reminder . pm sharp.,",['Not Found']
834,"9824671888,",",",['Not Found']
835,"Remind me for pollution check on 10/03/17at 8.45,","remind pollution check //at .,",['How']
836,"reminder on friday at 9 am,","reminder friday  am,",['Not Found']
837,"If I uninstall haptic will I get reminders?,","uninstall haptic get reminders?,",['How']
838,"thanks fr d reminder,","thanks fr reminder,",['all the reminders']
839,"Please remind me for paying online for movie tickets,","please remind paying online movie tickets,",['Not Found']
840,"Remind me to eat tablets,","remind eat tablets,",['eat']
841,"Remind me my match,","remind match,",['How']
842,"One more birthday remainder please,","one birthday remainder please,",['Not Found']
843,"Could tell me about taj mahal,","could tell taj mahal,",['you']
844,"Remind me at 10 o'clock tomorrow,","remind  o'clock tomorrow,",['Not Found']
845,"Will you remind me i have to watch movie?,","remind watch movie?,",['watch a movie']
846,"Why are nt you calling me,","nt calling me,",['calling me']
847,"9811027464,",",",['Not Found']
848,"Please set a general reminder for today @ 5:00 p.m.,","please set general reminder today @ : p.m.,",['Not Found']
849,"Call me at 8 plZ,","call  plz,",['Call']
850,"Remind me at 10 15 am everyday,","remind   everyday,",['Not Found']
851,"That's good service, can you send format of to do list ? Or how to prepare to do list ???,","that's good service, send format list ? prepare list ???,",[')']
852,"Remind me for shoes g wing and wholesale t & c at 1 pm today and tomorrow both,","remind shoe g wing wholesale & c  pm today tomorrow both,",['the same']
853,"On this 8th and 9th I arrange a meeting with military staff so please remind me at 9:30 am on those day,","th th arrange meeting military staff please remind : day,",['meeting']
854,"I wanted to set on more alarm,","wanted set alarm,",['Not Found']
855,"21 Nov call to Jaini for Jmd var on 10am,"," nov call jaini jmd var am,",['Call']
856,"Can u Mee what was today's reminders of me,","u mee today's reminder me,",['Not Found']
857,"Can u send automated message(scheduled) to any number,","u send automated message(scheduled) number,",['Not Found']
858,"Schedule reminder at 3:10pm today for cheque issue,","schedule reminder :pm today cheque issue,",['Not Found']
859,"I need a reminder at 11.55 pm January 6th,","need reminder . pm january th,",['Not Found']
860,"Why there isn't any sound for reminding messages?,","isn't sound reminding messages?,",['reminding me']
861,"Please remind me on :720 am,","please remind : am,",['Not Found']
862,"Hi I need 3 reminders a day 1. 11.30 am for salad 2. 1.30 pm for lunch 3. 4 pm for fruits,","hi need  reminder day . . salad . . pm lunch .  pm fruits,",['lunch']
863,"Pls remind me...Tomorrow I have to submit Power quality analysis report hard copy,","pls remind me...tomorrow submit power quality analysis report hard copy,",['Not Found']
864,"Remaind me at 11.59 am yaa,","remaind . yaa,",['Not Found']
865,"Ty for all the reminders,","ty reminders,",['all the reminders']
866,"Put a reminder for me,","put reminder me,",['Not Found']
867,"Remind me to bring atta from chakki today at 9.30pm,","remind bring atta chakki today .pm,",['the same']
868,"Hey, can you remind me to carry my laptop tomorrow morning?,","hey, remind carry laptop tomorrow morning?,",['Not Found']
869,"Can you remind me on my nu.mber 9269504000,","remind nu.mber ,",['How']
870,"Remind me to have a walk for every one hour in between 10 - 6pm,","remind walk every one hour  - pm,",['go for a walk']
871,"Yes thx want reminder daily,","yes thx want reminder daily,",['Not Found']
872,"Can u Remind me on buying gifts tomorrow for a contest at office may be around at 10:30 am tomorrow,","u remind buying gift tomorrow contest office may around : tomorrow,",['the same']
873,"Plz remind m after 5 min,","plz remind  min,",['Not Found']
874,"Can u setup one reminder as well,","u setup one reminder well,",['Not Found']
875,"Hi Daniel...remind me to take Airtel connection,","hi daniel...remind take airtel connection,",['How']
876,"that reminder ws 12.30 pm,","reminder w . pm,",['Where']
877,"Remind me to carry make up box,","remind carry make box,",['How']
878,"Thnqq for reminding me,","thnqq reminding me,",['reminding me']
879,"Call to 2ic tomorrow at 10.30 am,","call ic tomorrow . am,",['Call']
880,"Why arw you calling me.,","arw calling me.,",['calling me']
881,"Yes.,","yes.,",['Not Found']
882,"Reminder to pay insurance premium,","reminder pay insurance premium,",['What']
883,"Remind me Raheja Plaza hearing on 11-1-17 @ 12-30pm,","remind raheja plaza hearing -- @ -pm,",['Not Found']
884,"Guys, inspite my repeated request you all are still sending me these useless reminders what you want ? Should I downgrade your rating of your app or uninstall permanently.? Next reminder & I will do both thing so beware,","guys, inspite repeated request still sending useless reminder want ? downgrade rating app uninstall permanently.? next reminder & thing beware,",['When']
885,"Set a reminder in 18th,","set reminder th,",['What']
886,"Remind me according to glasses,","remind according glasses,",['How']
887,"Remind me at 9am in the morning to change the order to 100kg each,","remind am morning change order kg each,",['Not Found']
888,"I did get reminder,","get reminder,",['How']
889,"One reminder for 9th November 00.00 am,","one reminder th november . am,",['Not Found']
890,"9829210008,",",",['Not Found']
891,"Remind me on Monday about tax submission by 3 pm,","remind monday tax submission  pm,",['Not Found']
892,"This was such a small alarm,","small alarm,",['Alarm']
893,"All done madam.. thanks.. fortunately I remembered this,","done madam.. thanks.. fortunately remembered this,",[')']
894,"Can u please remind me to bring my laptop to college on Tuesday,","u please remind bring laptop college tuesday,",['Not Found']
895,"Remind me to have lunch at 2:30 pm today,","remind lunch : pm today,",['lunch']
896,"Thank u lot for remembering I really appreciate this service,","thank u lot remembering really appreciate service,",[')']
897,"Remind me to take my cheque book and bring it to office tomorrow,","remind take cheque book bring office tomorrow,",['book tickets']
898,"Hi.. I need reminder for folic acid only on Wednesdays.. Thanks,","hi.. need reminder folic acid wednesdays.. thanks,",['the reminders']
899,"Please remind me to visit Bsnl office on Monday 07.11.2016 at 13:30 pm,","please remind visit bsnl office monday .. : pm,",['Not Found']
900,"Reminder at 6,","reminder ,",['What']
901,"Want to set one reminder,","want set one reminder,",['Not Found']
902,"Oh s,","oh s,",['Not Found']
903,"Reminder to punch in biometry,","reminder punch biometry,",['What']
904,"Cool thanku soo much.... can u send me this msg detail along with a call that day?,","cool thanku soo much.... u send msg detail along call day?,",['Call']
905,"Remind me of a flight to Germany on 13th at 11 am,","remind flight germany th  am,",['Not Found']
906,"Please remind me to get the printout for a manual today at 7.30pm,","please remind get printout manual today .pm,",['Not Found']
907,"Schedule this for tomorrow,","schedule tomorrow,",['Not Found']
908,"I will let you know,","let know,",['Not Found']
909,"Afterwards,","afterwards,",['Not Found']
910,"Can you remind me to take deo on 24 th November at 4.45 pm,","remind take deo  th november . pm,",['Not Found']
911,"Sure thanks for reminding,","sure thanks reminding,",[')']
912,"Reminder message should be,","reminder message be,",['What']
913,"Can you remind me through phone alert?,","remind phone alert?,",['How']
914,"7 am,"," am,",['Not Found']
915,"I want to remember a birthday,","want remember birthday,",['Not Found']
916,"Dont't reminder me for every 30 minutes,","dont't reminder every  minutes,",['Not Found']
917,"Remind me for my cousin bday. At 23:50,","remind cousin bday. :,",['How']
918,"Pls remind me on same task at 9 pm,","pls remind task  pm,",['Not Found']
919,"Pls set to 10 am to 6 pm only,","pls set   pm only,",['Not Found']
920,"Reminder: management hour at 7:45pm today,","reminder: management hour :pm today,",['Not Found']
921,"Can you set a reminder for me,","set reminder me,",['What']
922,"I should be able to make conference calls from my mobile. Can you help?,","able make conference call mobile. help?,",['Call']
923,"Remind me to remind Rutu about training,","remind remind rutu training,",['How']
924,"Please remember me I have to buy a CD to tomorrow at 5 p.m.,","please remember buy cd tomorrow  p.m.,",['Not Found']
925,"Call me at 12 45 pm,","call   pm,",['Call']
926,"Thanks..,","thanks..,",[')']
927,"Thanks for the reminder, I had now,","thanks reminder, now,",['the reminders']
928,"If u remind me to study, then it will be much appreciated :p,","u remind study, much appreciated :p,",['study']
929,"Will i get my 6:30 pm call,","get : pm call,",['get a call']
930,"Where is my call,","call,",['Call']
931,"Hey sayali can you please remind me bring photo to college,","hey sayali please remind bring photo college,",['Not Found']
932,"Hi can I send reminders to my colleagues as well,","hi send reminder colleague well,",['Not Found']
933,"This Sunday.. Got a meeting with subesh sir. Schedule Tht for me please,","sunday.. got meeting subesh sir. schedule tht please,",['meeting']
934,"Remind me to book a cab at 6 o clock,","remind book cab  clock,",['book a cab']
935,"Good morning shreya,","good morning shreya,",[')']
936,"Tell me something about Amazon,","tell something amazon,",['you']
937,"Today at 12,","today ,",['Not Found']
938,"I need 2 calls one fr 7.00 am n another for 7.30 am,","need  call one fr . n another . am,",['Not Found']
939,"Make me remind tomorrow,","make remind tomorrow,",['Not Found']
940,"Keep remaining me about creating my own software for my company for this two weeks. From morning 10am to 6 pm every 2hours once.,","keep remaining creating software company two weeks. morning am  pm every hours once.,",['Not Found']
941,"Set reminder for 1:30 as i have to study bst,","set reminder : study bst,",['study']
942,"Thanks a lot to remind me,","thanks lot remind me,",['Not Found']
943,"Reminder for getting party games organzined,","reminder getting party game organzined,",['What']
944,"Pls set a alarm for 8 Am,","pls set alarm  am,",['Not Found']
945,"Call me at 9 am,","call  am,",['Call']
946,"Will u remind me daily,","u remind daily,",['Not Found']
947,"Where is aspirin reminder?,","aspirin reminder?,",['What']
948,"Pleaze remind me to download the gs notes today 9:30 Pm,","pleaze remind download g note today : pm,",['the same']
949,"Cud u plz set a reminder for me,","cud u plz set reminder me,",['Not Found']
950,"Remind me to have sex at 8pm,","remind sex pm,",['Not Found']
951,"Can you change my time 2 reminder of 10am to 10pm?,","change time  reminder am pm?,",['Not Found']
952,"But I ddnt get a cl from ur side for this reminder,","ddnt get cl ur side reminder,",['How']
953,"Remind me to take a haircut on the 25th at 6pm,","remind take haircut th pm,",['Not Found']
954,"Gayathri 03/01/17 5.10,","gayathri // .,",['Not Found']
955,"Does the phone have to be on to get the reminder,","phone get reminder,",['How']
956,"Yes.. You can remind me every day,","yes.. remind every day,",['Not Found']
957,"Can you please set this up,","please set up,",['Not Found']
958,"Can u pls remind me to make a list for all rip and repair styles in one folder,","u pls remind make list rip repair style one folder,",['Not Found']
959,"To which number you call?,","number call?,",['Call']
960,"Reminder for journey,","reminder journey,",['What']
961,"One more reminder at 11 am tomorrow to collect post office 5 year term deposit.,","one reminder  tomorrow collect post office  year term deposit.,",['Not Found']
962,"Hi .... please remind me to buy deo, pet food, nd grocery,","hi .... please remind buy deo, pet food, nd grocery,",['Not Found']
963,"Nopes i want you guys to make that call,","nopes want guy make call,",['Not Found']
964,"Like movie tickets  cabs etc. There must be another option. Like person assistance. Just a suggestion . Think about it.,","like movie ticket cab etc. must another option. like person assistance. suggestion . think it.,",['another reminder']
965,"Tomorrow poshan ahar meeting place reminder me at 9 am,","tomorrow poshan ahar meeting place reminder  am,",['meeting']
966,"Remind me about my daughters pajama party on 16.12.16,","remind daughter pajama party ..,",['How']
967,"Make it a schedule for all week days,","make schedule week days,",['Not Found']
968,"Can u Plz remind me to collect a frame @ 5,","u plz remind collect frame @ ,",['Not Found']
969,"One more reminder for s for tomo at 9.30 am,","one reminder tomo . am,",['Not Found']
970,"Remind me about Aadhar card,","remind aadhar card,",['How']
971,"Remind Saloni about Stacy courier on 29th November 2016 at 11am,","remind saloni stacy courier th november  am,",['Not Found']
972,"Set the alarm for 8am everyday,","set alarm am everyday,",['Not Found']
973,"Every month of 20th I need remainder,","every month th need remainder,",['Not Found']
974,"Set reminder at 2:30 pm To note down the result of aldol condensation,","set reminder : pm note result aldol condensation,",['Not Found']
975,"Remind me to hear kal ho na ho song on jan 7 at 3pm,","remind hear kal ho na ho song jan  pm,",['Not Found']
976,"Yes remind me every monday to friday,","yes remind every monday friday,",['Not Found']
977,"Remind me to Go for police verification,","remind go police verification,",['how']
978,"Also schedule the same for 7am and 7:30am too,","also schedule am :am too,",['Not Found']
979,"Thnaks,","thnaks,",['Not Found']
980,"Thanks neha. So nice of u,","thanks neha. nice u,",[')']
981,"didi can u stp all my reminders plz,","didi u stp reminder plz,",['Not Found']
982,"Remind me at 15.25 to go to meeting,","remind . go meeting,",['meeting']
983,"Remind me to leave for Vaishali at 4 pm today,","remind leave vaishali  pm today,",['leave']
984,"Please set the alarm for me at 9 clock sharp tomrow,","please set alarm  clock sharp tomrow,",['Not Found']
985,"Remind messaginf Geet for blazer and nehru jacket at 10.30pm today.,","remind messaginf geet blazer nehru jacket .pm today.,",['the same']
986,"Can you set 2 alarms please?,","set  alarm please?,",['Not Found']
987,"I need that reminder daily,","need reminder daily,",['Not Found']
988,"I want you to remind me on 02472222987,","want remind ,",['How']
989,"Two reminders these are,","two reminder are,",['What']
990,"Yes make me remind ....I have onenyt stand with my gf tonight ..plz make me remember at 9,","yes make remind ....i onenyt stand gf tonight ..plz make remember ,",['Not Found']
991,"My paper is on 19nov 2016 Time 10am Remind me weather I talk my admit card  photo copy and proof of photo identity,","paper nov  time am remind weather talk admit card photo copy proof photo identity,",['Not Found']
992,"Pls make continues reminder,","pls make continues reminder,",['Not Found']
993,"Please remind me on 19th Jan about Chitra nakshtra,","please remind th jan chitra nakshtra,",['Not Found']
994,"Want to set reminder for milk every day 5.30 PM.,","want set reminder milk every day . pm.,",['Not Found']
995,"Remember me to study,","remember study,",['study']
996,"Please remind me to buy meftal spa in the morning. At around 8.30 am and again remind me at 9 am.,","please remind buy meftal spa morning. around . remind  am.,",['Not Found']
997,"Remind me to pick a bag from friend home,","remind pick bag friend home,",['How']
998,"Remind me to Upload money back challenge report tomorrow morning,","remind upload money back challenge report tomorrow morning,",['Not Found']
